Name,Start,End,Activity
Deepti,09/Jul/23 03:31 AM,15/May/23 03:31 PM,Podcast
Priyanka,11/May/23 10:43 AM,30/Mar/23 03:31 PM,Podcast
Ravi,28/May/23 08:19 AM,17/Aug/23 01:07 PM,Call
Jyoti,12/Jul/23 01:07 PM,09/Sep/23 10:43 PM,Send Email
Ravi,11/Sep/23 05:55 PM,29/Aug/23 05:55 AM,Remote Inspection
Ravi,13/Jul/23 01:07 AM,12/May/23 03:31 AM,Reply to Customers
Ravi,02/May/23 10:43 PM,29/May/23 08:19 PM,Business Development
Jyoti,09/Jun/23 10:43 AM,01/Sep/23 05:55 AM,Reporting
Ravi,07/May/23 10:43 AM,08/Sep/23 10:43 PM,Fund raising
Sharan,15/May/23 05:55 AM,29/Jun/23 05:55 AM,Send Email
Ravi,03/Aug/23 08:19 PM,30/Jul/23 08:19 AM,Updates
Jyoti,06/Oct/23 08:19 PM,06/Sep/23 08:19 AM,Inspection
Sharan,15/Oct/23 03:31 PM,23/Jul/23 05:55 PM,Fund raising
Ravi,07/Jun/23 08:19 AM,02/Aug/23 05:55 AM,Send Email
Priyanka,29/Aug/23 05:55 PM,09/Aug/23 08:19 PM,Reply to Customers
Deepti,22/Jul/23 05:55 PM,09/Jul/23 03:31 PM,Remote Inspection
Ravi,25/Sep/23 01:07 PM,17/Apr/23 05:55 AM,Business Development
Ravi,12/Jun/23 10:43 PM,04/May/23 08:19 AM,Inspection
Jyoti,13/Oct/23 05:55 PM,11/Oct/23 08:19 AM,Business Development
Sharan,18/Jul/23 01:07 PM,05/Sep/23 08:19 AM,Updates
Sharan,16/Jun/23 05:55 AM,27/Jul/23 10:43 PM,Fund raising
Priyanka,28/Jun/23 01:07 PM,20/Apr/23 01:07 AM,Call
Jyoti,13/Jun/23 05:55 PM,31/Aug/23 08:19 PM,Reporting
Ravi,23/Jul/23 03:31 AM,15/Sep/23 10:43 AM,Send Email
Jyoti,05/Aug/23 10:43 AM,24/Apr/23 05:55 PM,Reporting
Deepti,13/Jul/23 05:55 AM,22/Aug/23 08:19 AM,Send Email
Jyoti,18/Apr/23 03:31 PM,20/Jul/23 03:31 AM,Updates
Priyanka,08/Aug/23 08:19 AM,21/May/23 08:19 AM,Podcast
Deepti,06/Sep/23 01:07 PM,06/Oct/23 05:55 AM,Podcast
Deepti,18/Jul/23 01:07 PM,22/Jul/23 01:07 PM,Business Development
Sharan,19/Aug/23 08:19 PM,04/Apr/23 03:31 AM,Reply to Customers
Sharan,24/Aug/23 05:55 PM,17/Aug/23 01:07 AM,Remote Inspection
Jyoti,17/Jul/23 05:55 PM,19/May/23 08:19 AM,Podcast
Sharan,01/Apr/23 05:55 AM,28/May/23 08:19 AM,Send Email
Sharan,02/Jun/23 05:55 AM,06/Jul/23 08:19 AM,Remote Inspection
Jyoti,11/Jun/23 03:31 PM,17/May/23 05:55 PM,Podcast
Deepti,14/Sep/23 03:31 PM,01/Sep/23 10:43 AM,Updates
Sharan,30/Jun/23 05:55 AM,11/Apr/23 01:07 PM,Reply to Customers
Priyanka,06/Oct/23 03:31 PM,04/Jul/23 01:07 AM,Inspection
Jyoti,21/Sep/23 10:43 PM,20/Jun/23 08:19 AM,Reporting
Sharan,01/May/23 08:19 AM,07/Jun/23 10:43 PM,Podcast
Sharan,05/Apr/23 10:43 AM,05/Sep/23 03:31 AM,Fund raising
Deepti,11/Jul/23 08:19 AM,27/Jun/23 05:55 AM,Fund raising
Jyoti,17/Jun/23 03:31 AM,25/Apr/23 01:07 AM,Reporting
Deepti,10/Jul/23 03:31 AM,23/Sep/23 05:55 AM,Reply to Customers
Jyoti,05/Jun/23 03:31 AM,03/Oct/23 08:19 AM,Call
Deepti,29/May/23 05:55 PM,11/Oct/23 08:19 PM,Inspection
Deepti,06/Apr/23 01:07 AM,14/Oct/23 08:19 PM,Send Email
Deepti,03/Apr/23 01:07 PM,03/Apr/23 01:07 AM,Call
Deepti,24/Jul/23 08:19 AM,09/Apr/23 03:31 PM,Reply to Customers
Sharan,28/Aug/23 03:31 AM,09/May/23 03:31 PM,Inspection
Sharan,24/Aug/23 08:19 PM,16/Sep/23 01:07 PM,Inspection
Jyoti,24/Apr/23 10:43 AM,21/Jun/23 08:19 AM,Podcast
Sharan,15/Jun/23 03:31 AM,28/Jun/23 08:19 PM,Inspection
Priyanka,25/Aug/23 01:07 AM,20/Apr/23 08:19 PM,Remote Inspection
Sharan,11/Sep/23 05:55 PM,31/Jul/23 10:43 PM,Podcast
Ravi,15/Jul/23 05:55 PM,09/May/23 05:55 PM,Fund raising
Ravi,19/Sep/23 03:31 AM,26/May/23 10:43 AM,Call
Sharan,02/Jul/23 10:43 AM,02/Apr/23 01:07 AM,Fund raising
Priyanka,23/Jul/23 01:07 AM,18/Jul/23 10:43 AM,Business Development
Priyanka,10/Aug/23 05:55 AM,27/Jul/23 05:55 AM,Reporting
Ravi,28/Jul/23 08:19 AM,18/Sep/23 05:55 AM,Podcast
Priyanka,02/Sep/23 01:07 PM,17/Sep/23 10:43 AM,Updates
Deepti,30/Jun/23 03:31 AM,10/Jun/23 10:43 PM,Business Development
Ravi,07/Aug/23 05:55 AM,19/Sep/23 08:19 AM,Podcast
Sharan,15/Sep/23 10:43 AM,23/Aug/23 08:19 PM,Call
Ravi,04/Aug/23 10:43 AM,12/Jul/23 05:55 PM,Reporting
Sharan,17/Jul/23 05:55 PM,17/Aug/23 05:55 AM,Send Email
Priyanka,03/May/23 05:55 PM,25/Aug/23 10:43 AM,Fund raising
Priyanka,07/Jul/23 08:19 AM,27/May/23 08:19 PM,Call
Sharan,18/Jul/23 05:55 PM,22/Aug/23 05:55 PM,Call
Jyoti,08/Aug/23 03:31 PM,22/Aug/23 08:19 PM,Business Development
Deepti,21/May/23 05:55 PM,15/Sep/23 03:31 AM,Business Development
Ravi,29/Sep/23 01:07 AM,20/Apr/23 01:07 AM,Call
Ravi,05/Aug/23 05:55 AM,12/Jun/23 03:31 PM,Remote Inspection
Ravi,13/Oct/23 03:31 AM,11/Jun/23 01:07 AM,Reporting
Sharan,14/Oct/23 10:43 PM,10/Sep/23 10:43 PM,Updates
Sharan,01/Oct/23 05:55 AM,17/Jul/23 03:31 AM,Reporting
Sharan,20/Apr/23 01:07 AM,28/Jun/23 05:55 AM,Fund raising
Sharan,11/Jun/23 03:31 AM,24/Jun/23 03:31 PM,Podcast
Jyoti,24/Jul/23 05:55 PM,26/Apr/23 05:55 AM,Call
Jyoti,02/Aug/23 08:19 PM,14/May/23 05:55 PM,Reporting
Ravi,30/Sep/23 08:19 PM,27/Apr/23 01:07 PM,Send Email
Deepti,15/Sep/23 05:55 AM,07/Sep/23 05:55 PM,Call
Jyoti,21/Sep/23 10:43 AM,26/Jun/23 03:31 PM,Inspection
Priyanka,23/Apr/23 10:43 AM,12/Oct/23 05:55 AM,Updates
Deepti,07/Sep/23 01:07 AM,11/Apr/23 01:07 AM,Call
Ravi,13/Jul/23 05:55 PM,11/Apr/23 08:19 AM,Fund raising
Jyoti,10/Jun/23 10:43 AM,22/Apr/23 08:19 AM,Podcast
Priyanka,19/Sep/23 05:55 AM,28/May/23 05:55 AM,Fund raising
Deepti,12/Jul/23 03:31 PM,26/Sep/23 01:07 AM,Reporting
Deepti,16/Jun/23 01:07 AM,24/Apr/23 03:31 PM,Business Development
Priyanka,28/Sep/23 01:07 AM,23/Jun/23 10:43 AM,Inspection
Jyoti,27/May/23 01:07 AM,21/May/23 03:31 AM,Send Email
Ravi,18/Jul/23 08:19 PM,13/Apr/23 01:07 PM,Reply to Customers
Priyanka,25/Jun/23 01:07 PM,09/Sep/23 01:07 PM,Fund raising
Sharan,23/Sep/23 08:19 PM,15/Jun/23 05:55 PM,Call
Ravi,31/Aug/23 05:55 AM,21/Sep/23 05:55 PM,Call
Sharan,08/Jul/23 01:07 PM,16/Sep/23 08:19 AM,Remote Inspection
Priyanka,08/May/23 01:07 PM,31/May/23 08:19 PM,Inspection
Sharan,27/Aug/23 10:43 AM,15/Jun/23 01:07 PM,Send Email
Jyoti,05/Jul/23 08:19 AM,22/Sep/23 03:31 AM,Updates
Priyanka,15/Sep/23 08:19 AM,31/Mar/23 03:31 AM,Inspection
Priyanka,08/Jul/23 01:07 AM,25/Jun/23 05:55 AM,Call
Priyanka,08/Sep/23 10:43 AM,11/Jul/23 03:31 AM,Fund raising
Jyoti,18/Jun/23 03:31 PM,06/May/23 08:19 AM,Fund raising
Jyoti,09/Oct/23 08:19 PM,16/Jun/23 01:07 PM,Remote Inspection
Deepti,28/Sep/23 03:31 AM,25/May/23 03:31 AM,Reply to Customers
Priyanka,14/Apr/23 08:19 PM,28/Jun/23 01:07 AM,Inspection
Sharan,25/Sep/23 03:31 AM,21/Jun/23 01:07 AM,Reply to Customers
Priyanka,31/Mar/23 08:19 PM,04/Jun/23 01:07 PM,Send Email
Sharan,05/Jun/23 05:55 PM,02/Oct/23 01:07 PM,Call
Jyoti,07/Apr/23 01:07 AM,09/Jun/23 01:07 PM,Updates
Ravi,10/Oct/23 08:19 PM,04/Jun/23 01:07 PM,Remote Inspection
Ravi,16/Apr/23 05:55 AM,28/Sep/23 03:31 AM,Reporting
Priyanka,30/Sep/23 08:19 AM,07/Aug/23 01:07 PM,Business Development
Deepti,20/Sep/23 05:55 PM,02/Oct/23 08:19 PM,Fund raising
Priyanka,18/Jul/23 01:07 PM,06/Jul/23 08:19 PM,Updates
Priyanka,24/May/23 03:31 PM,04/Aug/23 10:43 AM,Call
Sharan,01/May/23 08:19 AM,11/Jul/23 05:55 PM,Reply to Customers
Deepti,10/May/23 08:19 PM,30/Apr/23 10:43 PM,Business Development
Sharan,18/Aug/23 05:55 PM,27/Jul/23 10:43 PM,Business Development
Deepti,29/Mar/23 08:19 PM,11/Aug/23 10:43 AM,Send Email
Ravi,27/Jun/23 10:43 AM,08/Aug/23 10:43 PM,Fund raising
Sharan,13/Oct/23 05:55 AM,28/Jul/23 05:55 PM,Reply to Customers
Sharan,17/Jun/23 01:07 AM,05/Apr/23 03:31 PM,Podcast
Jyoti,06/Sep/23 05:55 PM,19/Sep/23 05:55 AM,Podcast
Jyoti,30/Jun/23 10:43 PM,03/Aug/23 03:31 PM,Updates
Ravi,12/Jul/23 01:07 PM,31/Jul/23 10:43 AM,Fund raising
Sharan,11/Sep/23 03:31 PM,07/May/23 01:07 AM,Call
Sharan,28/Jun/23 01:07 PM,01/Aug/23 05:55 AM,Reply to Customers
Sharan,05/Sep/23 05:55 PM,17/Sep/23 08:19 AM,Reply to Customers
Sharan,07/Jul/23 05:55 PM,06/May/23 08:19 AM,Reporting
Jyoti,31/Aug/23 05:55 AM,18/Jun/23 01:07 AM,Fund raising
Ravi,05/May/23 03:31 AM,25/May/23 01:07 PM,Podcast
Deepti,01/May/23 05:55 PM,23/May/23 10:43 AM,Send Email
Ravi,30/Aug/23 03:31 PM,05/Apr/23 10:43 PM,Updates
Jyoti,08/Sep/23 01:07 AM,04/Sep/23 01:07 AM,Business Development
Deepti,01/Jul/23 08:19 PM,07/Oct/23 03:31 PM,Business Development
Sharan,09/Apr/23 03:31 AM,07/Aug/23 03:31 PM,Updates
Deepti,28/Jul/23 10:43 AM,13/Apr/23 10:43 PM,Remote Inspection
Sharan,15/Apr/23 05:55 PM,11/Apr/23 10:43 PM,Send Email
Deepti,22/Jul/23 05:55 AM,28/Apr/23 08:19 AM,Remote Inspection
Jyoti,07/Jul/23 01:07 PM,21/Sep/23 01:07 AM,Send Email
Priyanka,27/Aug/23 03:31 PM,08/Sep/23 10:43 PM,Podcast
Ravi,16/Apr/23 10:43 AM,08/Oct/23 10:43 PM,Updates
Jyoti,24/Jun/23 03:31 AM,23/May/23 05:55 PM,Business Development
Deepti,12/Oct/23 03:31 PM,14/Sep/23 01:07 AM,Remote Inspection
Priyanka,06/Sep/23 03:31 AM,23/Aug/23 05:55 AM,Fund raising
Priyanka,19/Jul/23 10:43 PM,01/Sep/23 03:31 AM,Send Email
Priyanka,22/Sep/23 03:31 PM,27/Jun/23 08:19 PM,Fund raising
Jyoti,07/Jul/23 10:43 AM,09/Jul/23 08:19 PM,Call
Priyanka,11/Jun/23 03:31 PM,25/Aug/23 01:07 PM,Inspection
Jyoti,22/Apr/23 05:55 AM,01/Aug/23 08:19 AM,Call
Deepti,12/Jul/23 10:43 AM,10/Jun/23 08:19 AM,Fund raising
Sharan,09/Apr/23 03:31 AM,02/May/23 05:55 AM,Inspection
Jyoti,25/Jun/23 03:31 AM,21/Aug/23 05:55 PM,Reply to Customers
Ravi,17/Aug/23 05:55 PM,27/Sep/23 01:07 AM,Updates
Sharan,31/May/23 05:55 AM,26/May/23 10:43 PM,Business Development
Deepti,17/Aug/23 08:19 PM,09/Sep/23 01:07 PM,Inspection
Sharan,16/Apr/23 05:55 PM,12/Jul/23 08:19 PM,Inspection
Deepti,14/Oct/23 01:07 PM,26/Sep/23 10:43 AM,Podcast
Priyanka,12/Apr/23 01:07 PM,03/May/23 01:07 PM,Business Development
Sharan,14/Aug/23 05:55 AM,06/May/23 08:19 PM,Inspection
Ravi,03/May/23 01:07 AM,25/Aug/23 01:07 AM,Reporting
Priyanka,05/Aug/23 03:31 AM,12/Oct/23 01:07 PM,Call
Ravi,20/Apr/23 01:07 AM,09/Aug/23 10:43 AM,Send Email
Deepti,18/Jul/23 05:55 AM,24/May/23 01:07 PM,Reporting
Priyanka,22/Apr/23 05:55 AM,02/Aug/23 10:43 AM,Reply to Customers
Sharan,17/Aug/23 10:43 AM,17/Jun/23 01:07 PM,Business Development
Jyoti,16/Sep/23 05:55 PM,24/Sep/23 08:19 AM,Remote Inspection
Deepti,12/Sep/23 08:19 PM,14/Jul/23 08:19 PM,Podcast
Jyoti,02/Apr/23 10:43 PM,31/May/23 05:55 AM,Podcast
Jyoti,01/Jun/23 05:55 PM,03/Aug/23 01:07 AM,Remote Inspection
Ravi,01/Jun/23 08:19 AM,01/Apr/23 08:19 PM,Fund raising
Jyoti,02/Jun/23 08:19 PM,29/Sep/23 10:43 PM,Remote Inspection
Ravi,19/Sep/23 08:19 AM,03/Aug/23 03:31 AM,Inspection
Jyoti,24/May/23 05:55 PM,07/Jul/23 05:55 AM,Reporting
Ravi,22/Aug/23 05:55 PM,17/Apr/23 03:31 PM,Call
Priyanka,03/Oct/23 10:43 PM,19/Jun/23 05:55 PM,Send Email
Ravi,15/Sep/23 08:19 AM,14/Oct/23 10:43 PM,Podcast
Priyanka,28/Apr/23 10:43 AM,15/May/23 10:43 AM,Call
Sharan,04/Apr/23 05:55 AM,06/May/23 03:31 AM,Podcast
Ravi,13/Oct/23 08:19 AM,18/Apr/23 03:31 PM,Business Development
Sharan,07/Aug/23 05:55 AM,28/Sep/23 03:31 AM,Reply to Customers
Sharan,29/Jun/23 08:19 PM,02/Apr/23 10:43 PM,Inspection
Ravi,05/Apr/23 01:07 AM,01/May/23 10:43 PM,Call
Priyanka,16/Aug/23 05:55 AM,23/Jul/23 03:31 AM,Updates
Sharan,15/Jul/23 10:43 AM,28/Jun/23 10:43 PM,Updates
Sharan,08/Sep/23 10:43 AM,11/Oct/23 01:07 PM,Remote Inspection
Deepti,09/Aug/23 10:43 PM,29/Sep/23 01:07 AM,Updates
Priyanka,02/Jul/23 10:43 AM,08/Oct/23 05:55 AM,Call
Ravi,14/Sep/23 01:07 AM,12/Oct/23 03:31 PM,Fund raising
Deepti,14/Jul/23 05:55 PM,06/May/23 05:55 AM,Podcast
Sharan,17/Aug/23 05:55 PM,14/Jul/23 10:43 PM,Fund raising
Jyoti,17/Jul/23 01:07 AM,22/Jun/23 05:55 PM,Remote Inspection
Priyanka,13/Sep/23 08:19 AM,06/Jun/23 01:07 PM,Inspection
Ravi,01/Aug/23 08:19 AM,21/Sep/23 01:07 AM,Fund raising
Ravi,22/Jun/23 03:31 PM,12/Sep/23 08:19 AM,Fund raising
Deepti,12/Aug/23 01:07 PM,08/Jun/23 03:31 AM,Updates
Sharan,21/Sep/23 01:07 PM,20/Jul/23 08:19 AM,Remote Inspection
Deepti,31/Jul/23 01:07 PM,16/Apr/23 10:43 AM,Send Email
Sharan,21/Apr/23 05:55 PM,11/Aug/23 08:19 AM,Call
Ravi,09/Aug/23 10:43 AM,07/Aug/23 05:55 AM,Fund raising
Deepti,10/Aug/23 01:07 PM,14/Aug/23 03:31 AM,Call
Priyanka,10/Jul/23 10:43 PM,19/May/23 08:19 PM,Send Email
Jyoti,28/Jun/23 08:19 PM,04/Jul/23 10:43 AM,Updates
Deepti,25/Aug/23 10:43 AM,11/Jun/23 05:55 AM,Remote Inspection
Jyoti,18/Sep/23 08:19 AM,09/Jul/23 01:07 PM,Business Development
Ravi,05/Apr/23 03:31 AM,16/Sep/23 01:07 PM,Reporting
Priyanka,30/Apr/23 03:31 PM,12/Aug/23 05:55 PM,Inspection
Ravi,29/Apr/23 08:19 PM,07/May/23 01:07 PM,Remote Inspection
Sharan,22/Aug/23 01:07 AM,05/Sep/23 10:43 PM,Reporting
Jyoti,02/Oct/23 08:19 PM,11/Jul/23 08:19 AM,Reporting
Jyoti,10/Jul/23 10:43 AM,18/May/23 10:43 AM,Call
Ravi,28/Jun/23 01:07 AM,01/Jun/23 01:07 PM,Podcast
Ravi,12/Aug/23 05:55 PM,26/May/23 10:43 PM,Remote Inspection
Sharan,11/May/23 08:19 PM,06/Jun/23 03:31 AM,Updates
Sharan,15/Jul/23 08:19 AM,23/Jun/23 10:43 PM,Reporting
Jyoti,04/Oct/23 08:19 AM,12/Oct/23 08:19 PM,Fund raising
Jyoti,05/Jun/23 01:07 PM,06/Apr/23 08:19 PM,Reporting
Jyoti,24/Aug/23 01:07 PM,27/Aug/23 10:43 AM,Remote Inspection
Deepti,11/Oct/23 10:43 PM,23/Sep/23 10:43 AM,Updates
Sharan,01/Sep/23 10:43 AM,03/May/23 10:43 AM,Call
Jyoti,04/Apr/23 03:31 PM,05/Oct/23 08:19 PM,Send Email
Ravi,12/Jul/23 01:07 AM,11/Oct/23 01:07 PM,Business Development
Jyoti,31/Jul/23 03:31 AM,06/Apr/23 01:07 AM,Inspection
Ravi,09/May/23 10:43 AM,22/Jul/23 10:43 PM,Send Email
Sharan,07/Jul/23 05:55 AM,20/Sep/23 08:19 PM,Reply to Customers
Jyoti,11/May/23 03:31 PM,29/Jun/23 10:43 AM,Updates
Deepti,14/Oct/23 10:43 AM,27/Jul/23 08:19 AM,Podcast
Deepti,03/May/23 08:19 PM,12/Jul/23 03:31 PM,Call
Jyoti,18/Jun/23 03:31 PM,18/Jun/23 10:43 AM,Podcast
Deepti,01/Oct/23 01:07 PM,04/Apr/23 03:31 PM,Business Development
Priyanka,21/Apr/23 01:07 AM,05/Apr/23 08:19 PM,Reply to Customers
Priyanka,22/May/23 08:19 PM,12/Oct/23 10:43 PM,Fund raising
Deepti,08/Oct/23 03:31 PM,09/Sep/23 03:31 AM,Fund raising
Ravi,20/Jun/23 01:07 PM,03/Jun/23 05:55 PM,Business Development
Deepti,15/Jul/23 05:55 PM,24/Sep/23 10:43 PM,Business Development
Priyanka,25/Aug/23 10:43 AM,09/Apr/23 10:43 AM,Business Development
Jyoti,22/Sep/23 01:07 PM,01/Jul/23 10:43 AM,Updates
Deepti,07/Jul/23 01:07 PM,19/Jul/23 03:31 AM,Podcast
Deepti,30/Jun/23 01:07 AM,22/Jul/23 01:07 PM,Updates
Deepti,29/Jul/23 03:31 AM,06/May/23 10:43 PM,Call
Jyoti,16/May/23 10:43 AM,14/Sep/23 08:19 PM,Podcast
Sharan,13/May/23 01:07 AM,13/Jul/23 03:31 AM,Fund raising
Priyanka,28/Sep/23 03:31 PM,11/Sep/23 03:31 PM,Podcast
Ravi,02/Sep/23 10:43 PM,30/May/23 01:07 PM,Updates
Jyoti,02/Jun/23 03:31 PM,02/Jun/23 03:31 AM,Inspection
Priyanka,24/Jul/23 01:07 AM,22/Jun/23 10:43 PM,Reporting
Deepti,27/Jun/23 03:31 AM,10/Sep/23 08:19 PM,Reporting
Ravi,07/Sep/23 01:07 PM,10/Aug/23 08:19 PM,Inspection
Deepti,01/Apr/23 01:07 PM,10/May/23 03:31 PM,Updates
Sharan,09/May/23 08:19 PM,13/Jun/23 03:31 PM,Inspection
Sharan,22/Apr/23 08:19 PM,13/Oct/23 08:19 AM,Inspection
Ravi,31/Jul/23 03:31 AM,24/Sep/23 10:43 AM,Remote Inspection
Priyanka,20/Jul/23 10:43 AM,06/Jul/23 10:43 PM,Inspection
Priyanka,11/Sep/23 01:07 AM,29/May/23 10:43 PM,Remote Inspection
Jyoti,23/Aug/23 05:55 AM,10/Oct/23 08:19 AM,Reporting
Deepti,01/Sep/23 08:19 AM,08/Oct/23 10:43 AM,Inspection
Priyanka,14/Oct/23 08:19 AM,10/Oct/23 08:19 PM,Remote Inspection
Priyanka,01/May/23 08:19 AM,29/Sep/23 05:55 AM,Updates
Sharan,19/Sep/23 01:07 PM,04/Sep/23 10:43 PM,Business Development
Sharan,19/Sep/23 03:31 AM,03/Oct/23 03:31 PM,Reporting
Jyoti,17/Sep/23 03:31 PM,18/Jun/23 03:31 AM,Podcast
Sharan,14/Oct/23 01:07 PM,30/Aug/23 01:07 PM,Reporting
Jyoti,05/Aug/23 01:07 AM,17/Apr/23 03:31 PM,Business Development
Priyanka,17/Jun/23 10:43 AM,02/Jun/23 10:43 AM,Inspection
Priyanka,28/Jun/23 08:19 PM,06/Oct/23 01:07 PM,Business Development
Deepti,17/Jul/23 03:31 PM,24/Sep/23 03:31 PM,Send Email
Jyoti,16/Apr/23 10:43 PM,05/Jul/23 08:19 AM,Updates
Priyanka,30/Mar/23 01:07 PM,12/Oct/23 05:55 PM,Reporting
Priyanka,02/Apr/23 10:43 AM,21/Apr/23 05:55 PM,Reporting
Jyoti,13/Jun/23 08:19 PM,04/Sep/23 01:07 PM,Reply to Customers
Sharan,07/Aug/23 08:19 AM,19/Jun/23 08:19 AM,Reply to Customers
Sharan,14/Aug/23 01:07 PM,09/May/23 03:31 PM,Podcast
Jyoti,28/May/23 05:55 AM,05/Sep/23 05:55 PM,Send Email
Deepti,07/May/23 08:19 PM,05/Jul/23 01:07 AM,Podcast
Sharan,15/Aug/23 01:07 AM,13/Sep/23 08:19 PM,Call
Jyoti,12/Aug/23 10:43 AM,31/May/23 05:55 PM,Call
Priyanka,29/Jul/23 08:19 PM,23/May/23 05:55 PM,Send Email
Sharan,20/Aug/23 03:31 PM,26/Sep/23 01:07 PM,Remote Inspection
Jyoti,03/Jun/23 10:43 PM,12/Jun/23 05:55 AM,Reply to Customers
Priyanka,22/Jun/23 05:55 AM,27/Apr/23 08:19 AM,Remote Inspection
Sharan,08/May/23 08:19 PM,14/Oct/23 01:07 PM,Send Email
Priyanka,30/Jul/23 08:19 PM,05/Aug/23 10:43 AM,Business Development
Sharan,08/May/23 01:07 AM,02/Sep/23 08:19 AM,Inspection
Jyoti,21/Apr/23 03:31 PM,21/May/23 08:19 AM,Send Email
